url,local_path,http_status,content_type,bytes
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2018.pdf,data\raw\pdfs\FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2018.pdf,200,application/pdf,1229897
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2019.pdf,data\raw\pdfs\FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2019.pdf,200,application/pdf,1242791
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2020.pdf,data\raw\pdfs\FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2020.pdf,200,application/pdf,1140894
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2021.pdf,data\raw\pdfs\FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2021.pdf,200,application/pdf,978649
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2022.pdf,data\raw\pdfs\FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2022.pdf,200,application/pdf,512125
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2023.pdf,data\raw\pdfs\FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2023.pdf,200,application/pdf,1448567
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/LMC-Bi-Annual-Performance-Report-final.pdf,data\raw\pdfs\LMC-Bi-Annual-Performance-Report-final.pdf,200,application/pdf,1593465
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/LMC-CITIZEN-ENGAGEMENT-STRATEGY-18122025.pdf,data\raw\pdfs\LMC-CITIZEN-ENGAGEMENT-STRATEGY-18122025.pdf,200,application/pdf,6106806
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/LOAN-APPLICATION-FORM.pdf,data\raw\pdfs\LOAN-APPLICATION-FORM.pdf,200,application/pdf,988129
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/LUANSHYA-DISTRICT-CONSOLIDATED-COMMUNITY-PROJECTS-UNDER-CDF-FROM-2022-TO-2025.pdf,data\raw\pdfs\LUANSHYA-DISTRICT-CONSOLIDATED-COMMUNITY-PROJECTS-UNDER-CDF-FROM-2022-TO-2025.pdf,200,application/pdf,228013
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf,data\raw\pdfs\Luanshya-District-Community-Projects-2023.pdf,200,application/pdf,224023
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Notice-of-Meeting-DDCC-Dec-2024.pdf,data\raw\pdfs\Notice-of-Meeting-DDCC-Dec-2024.pdf,200,application/pdf,413140
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Notice-of-Meeting-and-Agenda-for-stakeholders.pdf,data\raw\pdfs\Notice-of-Meeting-and-Agenda-for-stakeholders.pdf,200,application/pdf,607348
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/PUBLIC-NOTICE-2026-ROLLING-OVER-STUDENTS-FOR-SKILLS-DEVELOPMENT-AND-SECONDARY-BOARDING-ROAN-CONSTITUENCY.pdf,data\raw\pdfs\PUBLIC-NOTICE-2026-ROLLING-OVER-STUDENTS-FOR-SKILLS-DEVELOPMENT-AND-SECONDARY-BOARDING-ROAN-CONSTITUENCY.pdf,200,application/pdf,18059517
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/SKILLS-DEVELOPMENT-BURSARY-APPLICATION-FORM.pdf,data\raw\pdfs\SKILLS-DEVELOPMENT-BURSARY-APPLICATION-FORM.pdf,200,application/pdf,839629
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/The-Constituency-Development-Fund-Act-No.-11-of-2018-1.pdf,data\raw\pdfs\The-Constituency-Development-Fund-Act-No.-11-of-2018-1.pdf,200,application/pdf,59577
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Youth-and-Women-Community-Projects-Application-Forms.pdf,data\raw\pdfs\Youth-and-Women-Community-Projects-Application-Forms.pdf,200,application/pdf,848951
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/ZPPA-MPI-2025-Q4.pdf,data\raw\pdfs\ZPPA-MPI-2025-Q4.pdf,200,cached,1817853
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/01/Advert-for-Secondary-Boarding-Bursaries.pdf,data\raw\pdfs\Advert-for-Secondary-Boarding-Bursaries.pdf,200,application/pdf,687600
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/01/Approved-List-for-Secondary-Boarding-School-and-Skills-Development-Bursaries-for-2026-under-Roan-Constituetency-CDF.pdf,data\raw\pdfs\Approved-List-for-Secondary-Boarding-School-and-Skills-Development-Bursaries-for-2026-under-Roan-Constituetency-CDF.pdf,200,application/pdf,4743331
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/01/Approved-list-for-Skills-Development-and.pdf,data\raw\pdfs\Approved-list-for-Skills-Development-and.pdf,200,application/pdf,1839635
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/01/Institution-Public-Notice-.pdf,data\raw\pdfs\Institution-Public-Notice-.pdf,200,application/pdf,460932
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/Data-Entry-Clerks-Employment-Opportunity.pdf,data\raw\pdfs\Data-Entry-Clerks-Employment-Opportunity.pdf,200,application/pdf,117353
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/ECZ-JOB-ADVERT-2.pdf,data\raw\pdfs\ECZ-JOB-ADVERT-2.pdf,200,application/pdf,227068
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/ECZ-JOB-ADVERT.pdf,data\raw\pdfs\ECZ-JOB-ADVERT.pdf,200,application/pdf,206869
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/Job-Advert-ECZ-2026.pdf,data\raw\pdfs\Job-Advert-ECZ-2026.pdf,200,application/pdf,907605
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/New-2026-Skills-Roan-CDF-.pdf,data\raw\pdfs\New-2026-Skills-Roan-CDF-.pdf,200,application/pdf,4743331
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/Property-Owners-DataBase-Update.pdf,data\raw\pdfs\Property-Owners-DataBase-Update.pdf,200,application/pdf,104210
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/SECOND-BATCH-APPROVED-2026-EMPOWERMENT-GRANTS-UNDER-LUANSHYA.pdf,data\raw\pdfs\SECOND-BATCH-APPROVED-2026-EMPOWERMENT-GRANTS-UNDER-LUANSHYA.pdf,200,application/pdf,2431023
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/propert-rates-advert-2026.pdf,data\raw\pdfs\propert-rates-advert-2026.pdf,200,application/pdf,91950
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/03/2026-Secondary-Boarding-Luanshya-Constituency-Second-Batch.pdf,data\raw\pdfs\2026-Secondary-Boarding-Luanshya-Constituency-Second-Batch.pdf,200,application/pdf,1891077
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/CAMPAIGN-TIME-TABLE-2026.pdf,data\raw\pdfs\CAMPAIGN-TIME-TABLE-2026.pdf,200,application/pdf,339581
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/CAMPAIGN-TIME-TABLE-LUANSHYA-2026.pdf,data\raw\pdfs\CAMPAIGN-TIME-TABLE-LUANSHYA-2026.pdf,200,application/pdf,342303
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/LUANSHYA-CANDIDATES-FOR-MAYORAL-NATIONAL-ASSEMBLY-COUNCILLORS.pdf,data\raw\pdfs\LUANSHYA-CANDIDATES-FOR-MAYORAL-NATIONAL-ASSEMBLY-COUNCILLORS.pdf,200,application/pdf,69448
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/Nomination-Schedule.pdf,data\raw\pdfs\Nomination-Schedule.pdf,200,application/pdf,156362
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/accredit-1.pdf,data\raw\pdfs\accredit-1.pdf,200,application/pdf,477364
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/adoption-certificate-briefing.pdf,data\raw\pdfs\adoption-certificate-briefing.pdf,200,application/pdf,84957
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/campaign-timetable.pdf,data\raw\pdfs\campaign-timetable.pdf,200,application/pdf,80930
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/08/LMC-OBB_Budget-2026.pdf,data\raw\pdfs\LMC-OBB_Budget-2026.pdf,200,application/pdf,1116627
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/09/2026-Bi-Annual-Statement.pdf,data\raw\pdfs\2026-Bi-Annual-Statement.pdf,200,application/pdf,809221
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/09/2026-Budget-Stakeholders-Meeting.pdf,data\raw\pdfs\2026-Budget-Stakeholders-Meeting.pdf,200,application/pdf,3877753
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/09/2026-Business-Stakeholder-Meeting.pdf,data\raw\pdfs\2026-Business-Stakeholder-Meeting.pdf,200,application/pdf,5491550
https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/Liqour-Licensing-Act-2011.pdf,data\raw\pdfs\Liqour-Licensing-Act-2011.pdf,200,application/pdf,75885
https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/The-Local-Government-Act-No.-2-of-2019.pdf,data\raw\pdfs\The-Local-Government-Act-No.-2-of-2019.pdf,200,application/pdf,213519
https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/The-Urban-and-Regional-Planning-Act-2015.pdf,data\raw\pdfs\The-Urban-and-Regional-Planning-Act-2015.pdf,200,application/pdf,123463
https://www.luanshyacouncil.gov.zm/?p=4430,data\raw\news\p4430.html,200,text/html; charset=UTF-8,99292
https://www.luanshyacouncil.gov.zm/?p=4433,data\raw\news\p4433.html,200,text/html; charset=UTF-8,97737
https://www.luanshyacouncil.gov.zm/?p=4436,data\raw\news\p4436.html,200,text/html; charset=UTF-8,101412
https://www.luanshyacouncil.gov.zm/?p=4439,data\raw\news\p4439.html,200,text/html; charset=UTF-8,101384
